hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|A0A0K8P6T7|PETH_PISS1	290	PEF.aln	290	1.9e-188	629.6	5.4e-192	2.1e-188	629.5	1	290	1	290	1	290	1.0	1	1	1.0	1.0	PEF
sp|Q47RJ6|PETH2_THEFY	301	PEF.aln	290	7.1e-146	489.9	2.2e-149	8.7e-146	489.6	4	290	15	301	13	301	0.97	1	1	0.9896551724137931	0.9534883720930233	PEF
sp|Q6A0I4|PETH2_THEFU	301	PEF.aln	290	7.1e-146	489.9	2.2e-149	8.7e-146	489.6	4	290	15	301	13	301	0.97	1	1	0.9896551724137931	0.9534883720930233	PEF
sp|E9LVH8|PETH1_THECS	262	PEF.aln	290	5.4e-143	480.4	1.6e-146	6e-143	480.3	29	290	2	262	1	262	0.99	1	1	0.9	1.0	PEF
sp|G8GER6|PETH1_THEFU	319	PEF.aln	290	1.4e-138	465.9	4.5e-142	1.7e-138	465.6	4	290	33	319	31	319	0.98	1	1	0.9896551724137931	0.8996865203761756	PEF
sp|Q47RJ7|PETH1_THEFY	319	PEF.aln	290	1.4e-138	465.9	4.5e-142	1.7e-138	465.6	4	290	33	319	31	319	0.98	1	1	0.9896551724137931	0.8996865203761756	PEF
sp|E9LVH9|PETH2_THECS	262	PEF.aln	290	3.5e-135	454.8	1e-138	3.9e-135	454.6	29	290	2	262	1	262	0.99	1	1	0.9	1.0	PEF
sp|D4Q9N1|PETH1_THEAE	296	PEF.aln	290	4.1e-127	428.3	1.3e-130	4.9e-127	428.0	16	290	22	296	5	296	0.93	1	1	0.9482758620689655	0.9290540540540541	PEF
sp|F7IX06|PETH2_THEAE	300	PEF.aln	290	8.6e-127	427.2	2.7e-130	1e-126	427.0	4	290	14	300	12	300	0.97	1	1	0.9896551724137931	0.9566666666666667	PEF
sp|P0DX29|PETH1_AMYMS	309	PEF.aln	290	1.7e-105	357.3	5.3e-109	2.1e-105	357.1	14	289	34	306	21	307	0.94	1	1	0.9413793103448276	0.8932038834951457	PEF
sp|Q9L2J6|BHETH_STRCO	310	PEF.aln	290	1.5e-104	354.2	4.9e-108	1.9e-104	353.9	13	289	36	307	22	308	0.92	1	1	0.9379310344827586	0.8935483870967742	PEF
sp|G9BY57|PETH_UNKP	293	PEF.aln	290	2.3e-97	330.6	7.7e-101	3e-97	330.3	16	288	23	289	6	291	0.92	1	1	0.9206896551724137	0.931740614334471	PEF
sp|P19833|LIP1_MORS1	319	PEF.aln	290	7.7e-73	250.2	3.3e-76	1.3e-72	249.4	46	279	76	305	61	318	0.9	1	1	0.7931034482758621	0.7335423197492164	PEF
