hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P26495|PHAZ_ECTOL	283	PHBV.aln	327	7.2e-85	290.3	1e-87	8.8e-85	290.0	3	299	1	280	1	282	0.97	1	1	0.8562691131498471	1.0494699646643109	PHBV
sp|Q51718|PHAZ_PSEFL	278	PHBV.aln	327	6.2e-35	126.1	2.6e-37	2.2e-34	124.3	3	238	35	270	33	278	0.91	1	1	0.7217125382262997	0.8489208633093526	PHBV
sp|P08658|LIP_PSEFR	293	PHBV.aln	327	1.7e-21	82.0	2.4e-24	2e-21	81.7	74	289	45	289	30	293	0.82	1	1	0.7492354740061162	0.7372013651877133	PHBV
sp|O86034|BDHA_RHIME	258	PHBV.aln	327	1.2e-19	75.9	1.6e-22	1.4e-19	75.7	6	201	5	256	1	258	0.88	1	1	0.7706422018348624	0.7596899224806202	PHBV
sp|O05527|PHB_DELAC	494	PHBV.aln	327	1.8e-18	72.0	4.6e-21	3.9e-18	70.9	102	327	34	494	6	494	0.8	1	1	1.4097859327217126	0.4574898785425101	PHBV
sp|Q9X6U2|BDHA_CUPNH	258	PHBV.aln	327	1.4e-15	62.5	1.9e-18	1.6e-15	62.4	6	199	7	254	2	258	0.84	1	1	0.7584097859327217	0.751937984496124	PHBV
sp|B2NHN2|PHAZ_TALFU	339	PHBV.aln	327	4.4e-15	60.9	9.6e-18	8.1e-15	60.0	102	275	28	287	1	298	0.74	1	1	0.7951070336391437	0.5132743362831859	PHBV
sp|P0DUB9|LIP_PSEPS	319	PHBV.aln	327	6.4e-11	47.2	1.1e-13	9.1e-11	46.7	68	294	41	307	31	313	0.69	1	1	0.8165137614678899	0.7115987460815048	PHBV
sp|P0DUB8|LIP_BURPL	358	PHBV.aln	327	2e-10	45.6	3.3e-13	2.8e-10	45.1	67	294	79	346	20	352	0.72	1	1	0.8195718654434251	0.6368715083798883	PHBV
sp|P25275|LIP_PSES5	364	PHBV.aln	327	1.1e-09	43.2	1.5e-12	1.3e-09	42.9	64	182	81	207	14	358	0.68	1	1	0.38837920489296635	0.3269230769230769	PHBV
sp|P15493|LIP_VIBCH	312	PHBV.aln	327	2.6e-09	41.9	7.2e-12	6.1e-09	40.7	84	292	82	311	61	312	0.69	1	1	0.7033639143730887	0.6698717948717948	PHBV
sp|Q476M7|MHPC_CUPPJ	289	PHBV.aln	327	4.7e-09	41.1	2.5e-09	2.1e-06	32.4	66	152	65	168	26	288	0.62	1	1	0.3180428134556575	0.30103806228373703	PHBV
sp|P22088|LIP_BURCE	364	PHBV.aln	327	7.3e-09	40.5	1.1e-11	9.4e-09	40.1	64	182	81	207	22	357	0.73	1	1	0.38837920489296635	0.3269230769230769	PHBV
sp|A1VUV0|BPHD_POLNA	286	PHBV.aln	327	8.2e-08	37.0	3.3e-10	2.8e-07	35.3	94	280	93	279	59	285	0.68	1	1	0.5718654434250765	0.6538461538461539	PHBV
sp|Q9RA51|METXA_THET2	380	PHBV.aln	327	1e-07	36.7	2.1e-10	1.7e-07	35.9	84	192	158	269	148	282	0.74	1	1	0.3425076452599388	0.2868421052631579	PHBV
sp|Q5SK89|METXA_THET8	380	PHBV.aln	327	1.1e-07	36.6	2.1e-10	1.8e-07	35.9	84	192	158	269	150	282	0.74	1	1	0.3425076452599388	0.2868421052631579	PHBV
sp|P47229|BPHD_PARXL	286	PHBV.aln	327	1.1e-07	36.6	6.3e-10	5.3e-07	34.4	94	279	93	278	61	285	0.64	1	1	0.5688073394495413	0.6503496503496503	PHBV
sp|Q52011|BPHD_METFU	286	PHBV.aln	327	1.5e-07	36.1	7.8e-10	6.6e-07	34.0	94	274	93	273	60	285	0.61	1	1	0.5535168195718655	0.6328671328671329	PHBV
sp|B1M5I5|RUTD_METRJ	259	PHBV.aln	327	1.6e-07	36.0	2.6e-09	2.2e-06	32.3	89	287	65	258	54	259	0.76	1	1	0.5932721712538226	0.7683397683397684	PHBV
sp|P42317|YXJF_BACSU	257	PHBV.aln	327	2.2e-07	35.6	3.2e-10	2.7e-07	35.3	7	175	7	237	1	255	0.71	1	1	0.7064220183486238	0.6575875486381323	PHBV
sp|C5B0U6|RUTD_METEA	260	PHBV.aln	327	6e-07	34.2	2.2e-09	1.8e-06	32.6	87	280	61	253	47	258	0.75	1	1	0.5902140672782875	0.7461538461538462	PHBV
sp|P26876|LIP_PSEAE	311	PHBV.aln	327	8.9e-07	33.6	2.5e-09	2.1e-06	32.4	82	291	79	309	60	311	0.73	1	1	0.7064220183486238	0.6752411575562701	PHBV
sp|B7KWT4|RUTD_METC4	260	PHBV.aln	327	2.5e-06	32.2	7.2e-09	6.1e-06	30.9	83	280	57	253	42	258	0.73	1	1	0.6024464831804281	0.7615384615384615	PHBV
sp|B1ZB18|RUTD_METPB	260	PHBV.aln	327	2.5e-06	32.2	5.5e-09	4.6e-06	31.3	90	280	67	253	44	258	0.81	1	1	0.5718654434250765	0.7346153846153847	PHBV
sp|P26877|LIP_PSEU0	311	PHBV.aln	327	3.8e-06	31.5	1.1e-08	9.2e-06	30.3	81	291	78	309	58	311	0.72	1	1	0.709480122324159	0.6784565916398714	PHBV
